"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9769","Registration in system","tests","Wed May 07 11:49:50 GMT 2025","passed","Wed May 07 11:50:00 GMT 2025","TestLoginPage","test_login_page","",""
"","7115","Log in to the system","tests","Wed May 07 11:50:02 GMT 2025","passed","Wed May 07 11:50:10 GMT 2025","TestLoginPage","test_login_page","",""
"","13141","Check sale price of product","tests","Wed May 07 11:50:37 GMT 2025","passed","Wed May 07 11:50:50 GMT 2025","TestProductPage","test_product_page","",""
"","15668","Check total and subtotal price","tests","Wed May 07 11:48:46 GMT 2025","passed","Wed May 07 11:49:01 GMT 2025","TestCartPage","test_cart_page","",""
"","10879","Check title of product","tests","Wed May 07 11:50:23 GMT 2025","passed","Wed May 07 11:50:34 GMT 2025","TestProductPage","test_product_page","",""
"","11062","Sorting of products","tests","Wed May 07 11:49:19 GMT 2025","passed","Wed May 07 11:49:30 GMT 2025","TestCatalog","test_catalog","",""
"","12017","Count filtered items on the page","tests","Wed May 07 11:49:04 GMT 2025","passed","Wed May 07 11:49:16 GMT 2025","TestCatalog","test_catalog","",""
"","14498","Confirmation of order","tests","Wed May 07 11:49:33 GMT 2025","passed","Wed May 07 11:49:47 GMT 2025","TestConfirmOrderPage","test_confirm_order","",""
"","10957","Check total and subtotal price","tests","Wed May 07 11:48:32 GMT 2025","passed","Wed May 07 11:48:43 GMT 2025","TestCartPage","test_cart_page","",""
"","8100","Write the review","tests","Wed May 07 11:50:12 GMT 2025","passed","Wed May 07 11:50:20 GMT 2025","TestProductPage","test_product_page","",""
