"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17412","Confirmation of order","tests","Wed May 07 11:20:45 GMT 2025","passed","Wed May 07 11:21:02 GMT 2025","TestConfirmOrderPage","test_confirm_order","",""
"","10995","Registration in system","tests","Wed May 07 11:21:05 GMT 2025","passed","Wed May 07 11:21:16 GMT 2025","TestLoginPage","test_login_page","",""
"","7420","Log in to the system","tests","Wed May 07 11:21:19 GMT 2025","passed","Wed May 07 11:21:26 GMT 2025","TestLoginPage","test_login_page","",""
